CN001001000	CN001001011	安徽安庆经济开发区
CN001001000	CN001001001	大观区
CN001001000	CN001001002	怀宁县
CN001001000	CN001001003	潜山县
CN001001000	CN001001004	宿松县
CN001001000	CN001001005	太湖县
CN001001000	CN001001006	桐城市
CN001001000	CN001001007	望江县
CN001001000	CN001001008	迎江区
CN001001000	CN001001009	宜秀区
CN001001000	CN001001010	岳西县
CN001002000	CN001002001	蚌山区
CN001002000	CN001002008	蚌埠市高新技术开发区
CN001002000	CN001002009	蚌埠市经济开发区
CN001002000	CN001002002	固镇县
CN001002000	CN001002003	淮上区
CN001002000	CN001002004	怀远县
CN001002000	CN001002005	龙子湖区
CN001002000	CN001002006	五河县
CN001002000	CN001002007	禹会区
CN001003000	CN001003001	利辛县
CN001003000	CN001003002	蒙城县
CN001003000	CN001003003	谯城区
CN001003000	CN001003004	涡阳县
CN001004000	CN001004001	东至县
CN001004000	CN001004002	贵池区
CN001004000	CN001004003	青阳县
CN001004000	CN001004004	石台县
CN001005000	CN001005010	滁州经济技术开发区
CN001005000	CN001005001	定远县
CN001005000	CN001005002	凤阳县
CN001005000	CN001005003	来安县
CN001005000	CN001005004	琅琊区
CN001005000	CN001005005	明光市
CN001005000	CN001005006	南谯区
CN001005000	CN001005007	全椒县
CN001005000	CN001005009	苏滁现代产业园
CN001005000	CN001005008	天长市
CN001006000	CN001006001	阜南县
CN001006000	CN001006009	阜阳合肥现代产业园区
CN001006000	CN001006010	阜阳经济技术开发区
CN001006000	CN001006002	界首市
CN001006000	CN001006003	临泉县
CN001006000	CN001006004	太和县
CN001006000	CN001006005	颍东区
CN001006000	CN001006006	颍泉区
CN001006000	CN001006007	颍上县
CN001006000	CN001006008	颍州区
CN001007000	CN001007001	包河区
CN001007000	CN001007002	巢湖市
CN001007000	CN001007003	肥东县
CN001007000	CN001007004	肥西县
CN001007000	CN001007010	合肥高新技术产业开发区
CN001007000	CN001007011	合肥经济技术开发区
CN001007000	CN001007012	合肥新站高新技术产业开发区
CN001007000	CN001007005	庐江县
CN001007000	CN001007006	庐阳区
CN001007000	CN001007007	蜀山区
CN001007000	CN001007008	瑶海区
CN001007000	CN001007009	长丰县
CN001008000	CN001008001	杜集区
CN001008000	CN001008002	烈山区
CN001008000	CN001008003	濉溪县
CN001008000	CN001008004	相山区
CN001009000	CN001009001	八公山区
CN001009000	CN001009002	大通区
CN001009000	CN001009003	凤台县
CN001009000	CN001009004	潘集区
CN001009000	CN001009005	寿县
CN001009000	CN001009006	田家庵区
CN001009000	CN001009007	谢家集区
CN001010000	CN001010001	黄山区
CN001010000	CN001010002	徽州区
CN001010000	CN001010003	祁门县
CN001010000	CN001010004	歙县
CN001010000	CN001010005	屯溪区
CN001010000	CN001010006	休宁县
CN001010000	CN001010007	黟县
CN001011000	CN001011001	霍邱县
CN001011000	CN001011002	霍山县
CN001011000	CN001011003	金安区
CN001011000	CN001011004	金寨县
CN001011000	CN001011005	舒城县
CN001011000	CN001011006	叶集区
CN001011000	CN001011007	裕安区
CN001012000	CN001012001	博望区
CN001012000	CN001012002	当涂县
CN001012000	CN001012003	含山县
CN001012000	CN001012004	和县
CN001012000	CN001012005	花山区
CN001012000	CN001012006	雨山区
CN001013000	CN001013001	砀山县
CN001013000	CN001013002	灵璧县
CN001013000	CN001013003	泗县
CN001013000	CN001013007	宿州经济技术开发区
CN001013000	CN001013006	宿州马鞍山现代产业园区
CN001013000	CN001013004	萧县
CN001013000	CN001013005	埇桥区
CN001014000	CN001014001	郊区
CN001014000	CN001014002	铜官区
CN001014000	CN001014003	义安区
CN001014000	CN001014004	枞阳县
CN001015000	CN001015010	安徽芜湖长江大桥经济开发区
CN001015000	CN001015001	繁昌县
CN001015000	CN001015002	镜湖区
CN001015000	CN001015003	鸠江区
CN001015000	CN001015004	南陵县
CN001015000	CN001015005	三山区
CN001015000	CN001015009	芜湖经济技术开发区
